unit,cycle,Fc,hs,T24,T30,T48,T50,P15,P2,P21,P24,Ps30,P40,alt,Mach,TRA,T2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,RUL
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006038436195181519,0.0,0.0,0.0,3013.0,0.37636199593544,70.3119964599609,522.314769642431,618.2885963693,1470.4697980494,1849.62067582849,1269.2755852347198,19.4320701444556,14.4846113579254,19.7279899943711,24.4109903832692,394.70187242726195,401.20518786110296,15.9747711231868,2142.25346175062,8693.176503300809,4.621621769019809,99
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006038436195181519,0.0,0.0,0.0,3020.0,0.37686598300933793,70.3119964599609,522.32714520368,618.2963545929911,1470.41559348816,1849.51987095965,1269.17715895643,19.4313853040602,14.4846827582327,19.7272947249342,24.410482668863,394.629898691678,401.132851423458,15.970518121863401,2142.2185963248003,8693.00029784332,4.6205610271602495,99
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006038436195181519,0.0,0.0,0.0,3025.0,0.377685010433197,70.3119964599609,522.371840254823,618.336513505893,1470.45385295371,1849.5661392028,1269.16735253355,19.4351626070874,14.488223509207598,19.7311295503426,24.4154763252482,394.667850498558,401.171401008059,15.9694186367525,2142.25795552484,8693.106261851679,4.62106448035669,99
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006038436195181519,0.0,0.0,0.0,3035.0,0.376991987228394,70.39988708496091,522.282417784045,618.302172615034,1470.6509285795598,1850.19506919345,1269.5186697772,19.4260028893864,14.4776323177951,19.7218303445547,24.4065444488064,394.773533200241,401.272707372957,15.9677623274559,2142.79467285782,8693.680366889279,4.62430456756137,99
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006038436195181519,0.0,0.0,0.0,3043.0,0.377622008323669,70.39988708496091,522.3006054142691,618.345228394617,1470.6404214486301,1849.95098793775,1269.25397204678,19.427484368296398,14.478113627632501,19.7233343840573,24.410159049075197,394.73215776581594,401.234620318964,15.962570650443402,2143.01515045384,8693.71482538936,4.6227679653301506,99
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006038436195181519,0.0,0.0,0.0,3049.0,0.377685010433197,70.39988708496091,522.283810662781,618.324471671828,1470.5824337377899,1849.8683129053302,1269.18720061337,19.4236630754424,14.4753956716594,19.7194548989263,24.405516253351603,394.64572121380303,401.146841950878,15.958728714079301,2142.97000684278,8693.5276436884,4.62159594096517,99
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006038436195181519,0.0,0.0,0.0,3057.0,0.37844100594520597,70.39988708496091,522.311858067116,618.34583189993,1470.59199713606,1849.89170452133,1269.1664406421198,19.4246518207704,14.476765903143802,19.7204587012898,24.4069181472637,394.63655645061095,401.13735669153505,15.956034949575,2142.9821900539,8693.54275673284,4.6215602895162196,99
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006038436195181519,0.0,0.0,0.0,3066.0,0.37844100594520597,70.39988708496091,522.280163891425,618.318516606039,1470.5238926707,1849.7197652071802,1269.01247973413,19.4190060622645,14.4721494315483,19.714726966766,24.400424306381304,394.521005760622,401.02120885282005,15.950270353131302,2143.0095880457397,8693.356811088,4.61967894109106,99
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006038436195181519,0.0,0.0,0.0,3073.0,0.37888199090957597,70.39988708496091,522.2877373082209,618.315757735106,1470.48604899578,1849.70514505942,1268.99265967279,19.4175209952722,14.471666374474198,19.7132192845403,24.3984331384691,394.462060743762,400.960858792679,15.947084925843999,2142.9438226102698,8693.21445881835,4.61907956134126,99
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006038436195181519,0.0,0.0,0.0,3081.0,0.379449009895325,70.39988708496091,522.302117323587,618.328911589692,1470.4812984039002,1849.66208329579,1268.9177467891,19.4171847166865,14.471691354955,19.7128778849609,24.3984343828725,394.43171749621,400.930565370807,15.9435214467443,2142.9855634401,8693.20350055881,4.618542659524429,99
